PAIS,PAIS_ISO3,CONTINENTE,ISO_CONTINENTE,OMS_REGION,FUENTE_DATOS,FECHA_ULT_ACTUALIZACION,TOTAL_VACUNACION_ACUM,NPER_VACUNADAS_1DOSIS,TOTAL_VACUNACION_PER100,NPER_VACUNADAS_1DOSIS_PER100,NPER_VACUNADAS_DOSIS_FULL,NPER_VACUNADAS_DOSIS_FULL_PER100,FECHA_PRIMERA_VACUNA,N_TIPOS_VACUNAS_USADAS,NPER_CON_DOSIS_ADICIONAL,NPER_CON_DOSIS_ADIDICIONAL_PER100
Vanuatu,VUT,Oceania,OC,WPRO,REPORTING,20-02-2023,355430.0,176624,115.721,57.505,162250,52.825,02-06-2021,3.0,16556.0,5.39
Zambia,ZMB,Africa,AF,AFRO,REPORTING,25-06-2023,13615707.0,11711565,74.063,63.705,9155551,49.802,14-04-2021,3.0,1414619.0,7.695
Zimbabwe,ZWE,Africa,AF,AFRO,REPORTING,17-09-2023,13935112.0,7491102,93.758,50.401,5649830,38.013,18-02-2021,4.0,2283828.0,15.366
American Samoa,ASM,Oceania,OC,WPRO,REPORTING,29-03-2023,114706.0,46206,207.812,83.711,42479,76.959,21-12-2020,3.0,24160.0,43.77
Austria,AUT,Europe,EU,EURO,REPORTING,02-07-2023,20403676.0,6899873,229.2,76.953,6682372,74.423,30-12-2020,10.0,5405966.0,60.207
Bangladesh,BGD,Asia,AS,SEARO,REPORTING,25-06-2023,360177584.0,151379833,218.701,91.918,141208849,85.743,27-01-2021,8.0,67588902.0,41.04
Brunei Darussalam,BRN,Asia,AS,WPRO,REPORTING,30-06-2023,1293100.0,451149,295.58,103.125,446714,102.111,03-04-2021,5.0,340466.0,77.825
Bulgaria,BGR,Europe,EU,EURO,REPORTING,03-09-2023,4618655.0,2108529,66.4,30.831,2080302,30.418,30-12-2020,4.0,832951.0,12.18
Central African Republic,CAF,Africa,AF,AFRO,REPORTING,03-09-2023,3342248.0,2600389,69.201,53.841,2484985,51.451,19-03-2021,2.0,366221.0,7.583
Cuba,CUB,North America,NA,AMRO,REPORTING,02-06-2023,38105906.0,10749013,336.428,94.9,10016328,88.432,0,3.0,8742146.0,77.182
Curaçao,CUW,North America,NA,AMRO,REPORTING,02-06-2023,260324.0,108601,158.644,66.183,100885,61.48,24-02-2021,3.0,43138.0,26.289
Ecuador,ECU,South America,SA,AMRO,REPORTING,24-02-2023,39495110.0,15329151,223.856,86.885,14233323,80.674,20-01-2021,4.0,7708466.0,43.691
Estonia,EST,Europe,EU,EURO,REPORTING,03-09-2023,2204970.0,845138,165.9,63.459,842167,63.235,23-12-2020,9.0,487355.0,36.594
Ethiopia,ETH,Africa,AF,AFRO,REPORTING,28-05-2023,68856793.0,52489512,59.894,45.658,43653006,37.971,13-03-2021,4.0,5978070.0,5.2
Fiji,FJI,Oceania,OC,WPRO,REPORTING,29-06-2023,1547226.0,712025,172.596,79.428,641194,71.526,07-03-2021,3.0,172078.0,19.196
Gambia,GMB,Africa,AF,AFRO,REPORTING,19-03-2023,1444492.0,674314,59.772,27.903,539186,22.311,10-03-2021,2.0,53741.0,2.224
Guadeloupe,GLP,North America,NA,AMRO,REPORTING,02-06-2023,400129.0,152113,100.001,38.016,146098,36.513,08-01-2021,7.0,89009.0,22.245
Honduras,HND,North America,NA,AMRO,REPORTING,02-06-2023,16901540.0,6485671,170.643,65.481,5751048,58.064,22-02-2021,6.0,4665196.0,47.101
Ireland,IRL,Europe,EU,EURO,REPORTING,11-06-2023,12386942.0,4108479,249.5,83.893,4062803,80.292,03-02-2021,5.0,3057548.0,60.426
Jordan,JOR,Asia,AS,EMRO,REPORTING,21-08-2022,10057975.0,4821579,98.577,47.256,4558313,44.676,13-01-2021,10.0,682211.0,6.686
Libya,LBY,Africa,AF,EMRO,REPORTING,16-01-2023,3739158.0,2316327,54.417,33.71,1236102,17.989,11-04-2021,10.0,186729.0,2.718
Lithuania,LTU,Europe,EU,EURO,REPORTING,03-09-2023,4532545.0,1956486,162.2,69.878,1907059,67.964,23-12-2020,5.0,902087.0,32.149
Malawi,MWI,Africa,AF,AFRO,REPORTING,02-07-2023,8359717.0,5368688,43.7,28.064,4223762,22.079,11-03-2021,2.0,1154619.0,6.036
Maldives,MDV,Asia,AS,SEARO,REPORTING,25-05-2023,951764.0,399308,176.075,73.872,385167,71.255,01-02-2021,8.0,167289.0,30.948
Malta,MLT,Europe,EU,EURO,REPORTING,13-08-2023,1280166.0,450531,248.8,86.479,444902,85.399,23-12-2020,4.0,352638.0,67.689
Netherlands,NLD,Europe,EU,EURO,REPORTING,11-09-2022,36105753.0,12776868,207.4,72.634,11957152,67.974,30-12-2020,6.0,9417108.0,53.535
Niger,NER,Africa,AF,AFRO,REPORTING,30-07-2023,7372208.0,6248483,30.455,25.813,5483001,22.651,29-03-2021,2.0,0.0,0.0
Romania,ROU,Europe,EU,EURO,REPORTING,27-08-2023,16111139.0,8188131,83.4,42.999,8142360,42.759,27-01-2021,4.0,1768901.0,9.289
Saint Vincent and the Grenadines,VCT,North America,NA,AMRO,REPORTING,02-06-2023,73443.0,37532,66.201,33.831,31632,28.513,01-02-2021,5.0,4279.0,3.857
Slovakia,SVK,Europe,EU,EURO,REPORTING,11-06-2023,7221055.0,2839404,132.3,52.246,2791174,51.358,03-03-2021,7.0,1686230.0,31.027
Solomon Islands,SLB,Oceania,OC,WPRO,REPORTING,04-07-2023,612700.0,335796,89.2,48.887,254016,36.981,23-03-2021,4.0,27896.0,4.061
Sudan,SDN,Africa,AF,EMRO,REPORTING,02-04-2023,22598737.0,15207452,51.537,34.681,13416394,30.597,09-03-2021,11.0,3891363.0,8.874
Tonga,TON,Oceania,OC,WPRO,REPORTING,30-06-2023,204737.0,87375,193.705,82.667,77390,73.22,14-04-2021,2.0,38588.0,36.509
United Republic of Tanzania,TZA,Africa,AF,AFRO,REPORTING,12-03-2023,39392419.0,34434933,65.946,57.647,32165791,53.848,28-07-2021,3.0,0.0,0.0
Uruguay,URY,South America,SA,AMRO,REPORTING,02-06-2023,9023199.0,3009801,259.755,86.645,2902437,83.554,27-02-2021,3.0,2079949.0,59.877
Venezuela (Bolivarian Republic of),VEN,South America,SA,AMRO,REPORTING,02-06-2023,37860994.0,22157232,133.145,77.92,14287370,50.244,22-02-2021,6.0,651502.0,2.291
Antigua and Barbuda,ATG,North America,NA,AMRO,REPORTING,02-06-2023,136512.0,64290,139.399,65.65,62384,63.703,01-03-2021,6.0,9838.0,10.046
Bonaire,XAA,Sin Determinar,Z9,AMRO,REPORTING,02-06-2023,43070.0,17460,205.929,83.481,16189,77.404,0,0.0,8125.0,38.848
Colombia,COL,South America,SA,AMRO,REPORTING,02-06-2023,90506612.0,43012174,177.872,84.532,37019801,72.755,17-02-2021,5.0,14792792.0,29.072
Comoros,COM,Africa,AF,AFRO,REPORTING,02-10-2022,835021.0,438825,96.023,50.463,397080,45.662,10-04-2021,3.0,0.0,0.0
Cyprus,CYP,Asia,AS,EURO,REPORTING,03-09-2023,1858978.0,669228,209.3,73.979,656138,72.525,23-12-2020,5.0,487407.0,53.875
Democratic Republic of the Congo,COD,Africa,AF,AFRO,REPORTING,04-06-2023,18808671.0,17045721,21.001,19.032,14399520,16.078,19-04-2021,1.0,0.0,0.0
Equatorial Guinea,GNQ,Africa,AF,AFRO,REPORTING,24-07-2022,488738.0,270109,34.836,19.252,214032,15.255,12-02-2021,2.0,4597.0,0.328
Eritrea,ERI,Africa,AF,AFRO,REPORTING,03-07-2022,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
Ghana,GHA,Africa,AF,AFRO,REPORTING,02-07-2023,25624828.0,13864186,82.467,44.618,10780003,34.693,02-03-2021,2.0,4806017.0,15.467
Iraq,IRQ,Asia,AS,EMRO,REPORTING,02-01-2023,19557364.0,11332925,48.623,28.176,7944775,19.752,02-03-2021,10.0,275280.0,0.684
Isle of Man,IMN,Europe,EU,EURO,OWID,23-06-2022,189994.0,69560,223.438,81.804,67106,78.919,0,3.0,53328.0,62.715
Jamaica,JAM,North America,NA,AMRO,REPORTING,02-06-2023,1525895.0,858035,51.53,28.976,758800,25.625,10-03-2021,6.0,45995.0,1.553
Liechtenstein,LIE,Europe,EU,OTHER,REPORTING,10-04-2022,71104.0,26681,183.5,68.86,26346,67.995,06-01-2021,3.0,18310.0,47.255
Mali,MLI,Africa,AF,AFRO,REPORTING,14-05-2023,5922585.0,4354292,29.246,21.502,3633589,17.943,31-03-2021,1.0,0.0,0.0
Martinique,MTQ,North America,NA,AMRO,REPORTING,02-06-2023,401816.0,150795,107.075,40.184,145536,38.782,0,2.0,92919.0,24.761
Mexico,MEX,North America,NA,AMRO,REPORTING,02-06-2023,222226293.0,96727823,172.358,75.022,81346379,63.092,24-12-2020,8.0,57014052.0,44.22
Monaco,MCO,Europe,EU,EURO,REPORTING,04-12-2022,71027.0,25319,181.0,69.015,24933,67.963,30-06-2021,7.0,17806.0,48.536
Montenegro,MNE,Europe,EU,EURO,REPORTING,04-12-2022,523735.0,272152,83.4,43.346,251583,40.07,24-02-2021,5.0,0.0,0.0
Morocco,MAR,Africa,AF,EMRO,REPORTING,14-05-2023,55389602.0,25020168,150.064,67.786,23521989,63.727,28-01-2021,10.0,6884356.0,18.651
Mozambique,MOZ,Africa,AF,AFRO,REPORTING,02-07-2023,34950858.0,22869646,111.823,73.17,21329745,68.243,08-03-2021,3.0,2323562.0,7.434
Northern Mariana Islands (Commonwealth of the),MNP,Oceania,OC,WPRO,REPORTING,30-05-2023,123536.0,46824,214.632,81.352,45953,79.839,19-12-2020,3.0,26121.0,45.383
Norway,NOR,Europe,EU,EURO,REPORTING,11-06-2023,12336663.0,4347197,229.8,80.129,4062204,74.876,30-12-2020,4.0,3020810.0,55.68
Panama,PAN,North America,NA,AMRO,REPORTING,02-06-2023,8901881.0,3533579,206.312,81.895,3174229,73.567,20-01-2021,2.0,1769698.0,41.015
Peru,PER,South America,SA,AMRO,REPORTING,02-06-2023,89593907.0,30487563,271.728,92.465,28654963,86.907,09-02-2021,4.0,22143074.0,67.158
Poland,POL,Europe,EU,EURO,REPORTING,03-09-2023,58236122.0,22984218,153.4,61.04,22705526,60.3,23-12-2020,5.0,12534090.0,33.287
Puerto Rico,PRI,North America,NA,AMRO,REPORTING,02-06-2023,7846764.0,2905470,274.281,101.56,2688410,93.972,0,4.0,1808780.0,63.225
Sao Tome and Principe,STP,Africa,AF,AFRO,REPORTING,30-07-2023,263863.0,140256,120.398,63.997,111986,51.098,15-03-2021,2.0,34624.0,15.799
Suriname,SUR,South America,SA,AMRO,REPORTING,02-06-2023,554588.0,267820,94.538,45.654,237879,40.55,23-02-2021,5.0,48889.0,8.334
New Caledonia,NCL,Oceania,OC,WPRO,REPORTING,03-04-2023,480497.0,192371,168.301,67.381,184801,64.729,20-01-2021,2.0,103325.0,36.191
Nigeria,NGA,Africa,AF,AFRO,REPORTING,17-09-2023,130894625.0,92261510,63.498,44.757,79729922,38.678,05-03-2021,1.0,16297695.0,7.906
Niue,NIU,Oceania,OC,WPRO,REPORTING,04-03-2023,4923.0,1638,304.265,101.236,1635,101.051,08-06-2021,1.0,1225.0,75.711
